2016-11-15, 22:11:44, 88000000, 90500000, 78125.00, 5376, -1.#J, -10.98, -8.13, -13.65, -1.#J, -1.#J, -8.84, -17.57, -12.06, -10.67, -1.#J, -16.46, -9.27, -1.#J, -1.#J, -1.#J, -8.39, -8.39, -1.#J, -18.73, -1.#J, -17.57, -8.37, -1.#J, -1.#J, -1.#J, -9.89, -1.#J, -10.62, -1.#J, -1.#J, -15.36, -15.36
2016-11-15, 22:11:44, 90500000, 93000000, 78125.00, 5376, -1.#J, -1.#J, -1.#J, -1.#J, -10.18, -8.66, -9.87, -8.81, -1.#J, -9.93, -9.21, -1.#J, -14.58, -17.06, -11.28, -12.69, -1.#J, -1.#J, -1.#J, -15.23, -1.#J, -8.53, -8.72, -11.00, -13.58, -1.#J, -10.31, -1.#J, -1.#J, -1.#J, -8.27, -1.#J, -1.#J
2016-11-15, 22:11:44, 93000000, 95500000, 78125.00, 5376, -9.10, -1.#J, -1.#J, -11.50, -9.49, -1.#J, -16.90, -13.38, -13.17, -1.#J, -1.#J, -14.05, -1.#J, -14.04, -17.44, -11.96, -1.#J, -1.#J, -11.51, -17.44, -11.63, -8.62, -1.#J, -23.14, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -8.14, -1.#J, -1.#J, -1.#J
2016-11-15, 22:11:44, 95500000, 98000000, 78125.00, 5376, -1.#J, -1.#J, -11.15, -8.52, -1.#J, -1.#J, -1.#J, -9.10, -1.#J, -11.07, -1.#J, -1.#J, -18.97, -1.#J, -1.#J, -1.#J, -8.69, -8.69, -8.67, -8.50, -1.#J, -1.#J, -1.#J, -1.#J, -10.93, -1.#J, -1.#J, -9.27, -8.80, -1.#J, -1.#J, -1.#J, -1.#J
2016-11-15, 22:11:44, 98000000, 100500000, 78125.00, 5376, -8.27, -1.#J, -1.#J, -9.61, -10.58, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -9.82, -1.#J, -1.#J, -1.#J, -12.89, -1.#J, -8.00, -8.76, -8.06, -1.#J, -10.53, -10.75, -15.35, -1.#J, -1.#J
2016-11-15, 22:11:44, 100500000, 103000000, 78125.00, 5376, -1.#J, -1.#J, -13.39, -10.92, -1.#J, -9.71, -18.52, -1.#J, -1.#J, -1.#J, -1.#J, -16.52, -10.34, -1.#J, -1.#J, -1.#J, -13.71, -13.71, -9.60, -14.26, -8.98, -11.07, -11.30, -1.#J, -1.#J, -10.10, -9.49, -10.93, -20.91, -8.73, -1.#J, -1.#J, -1.#J
2016-11-15, 22:11:44, 103000000, 105500000, 78125.00, 5376, -1.#J, -11.04, -1.#J, -11.72, -9.90, -17.00, -1.#J, -8.48, -1.#J, -1.#J, -28.47, -8.61, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -14.26, -9.06, -10.57, -1.#J, -1.#J, -1.#J, -1.#J, -15.29, -16.20, -1.#J, -1.#J, -8.05, -1.#J, -1.#J
2016-11-15, 22:11:44, 105500000, 108000000, 78125.00, 5376, -10.32, -1.#J, -1.#J, -1.#J, -10.99, -8.45, -14.52, -9.40, -1.#J, -7.97, -1.#J, -1.#J, -1.#J, -16.61, -9.58, -1.#J, -14.76, -14.76, -1.#J, -10.03, -10.48, -1.#J, -1.#J, -20.90, -1.#J, -1.#J, -1.#J, -1.#J, -15.20, -1.#J, -14.59, -11.66, -11.66
2016-11-15, 22:11:54, 88000000, 90500000, 78125.00, 5376, -1.#J, -1.#J, -11.17, -11.15, -1.#J, -1.#J, -12.22, -12.28, -8.21, -21.06, -1.#J, -15.87, -1.#J, -9.26, -11.81, -24.59, -1.#J, -1.#J, -1.#J, -14.77, -1.#J, -9.93, -10.03, -8.68, -8.43, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J, -1.#J
2016-11-15, 22:11:54, 90500000, 93000000, 78125.00, 5376, -8.02, -1.#J, -1.#J, -1.#J, -16.47, -1.#J, -1.#J, -12.99, -13.64, -10.84, -1.#J, -9.17, -1.#J, -14.02, -9.87, -19.15, -1.#J, -1.#J, -1.#J, -12.95, -1.#J, -1.#J, -8.48, -10.62, -9.29, -13.19, -8.14, -1.#J, -1.#J, -1.#J, -1.#J, -20.26, -20.26
